id,name,num
GE60113 ,知識科学実習A ,1.0 
GE60123 ,知識科学実習B ,1.0 
GE60201 ,テクニカルコミュニケー ション ,2.0 
GE60501 ,知識論 ,2.0 
GE60601 ,知識形成論 ,2.0 
GE60801 ,学術メディア論 ,2.0 
GE61001 ,コミュニティ情報論 ,2.0 
GE61101 ,図書館建築論 ,2.0 
GE61301 ,情報評価 ,2.0 
GE61501 ,データマイニング ,2.0 
GE61701 ,サイエンスコミュニケー ション ,1.0 
GE61801 ,データ構造とアルゴリズム ,2.0 
GE61901 ,情報検索システム ,2.0 
GE62001 ,生命情報学 ,2.0 
GE62101 ,知識コミュニケーション ,2.0 
GE62201 ,メディア社会文化論 ,2.0 
GE62301 ,ソーシャルメディア分析 ,2.0 
GE62401 ,Machine Learning and Information Retrieval,2.0 
GE62501 ,Human Information Interaction,2.0 
GE62601 ,身体知 ,2.0 
